Fiscal Year,Number
1980,"207,120"
1981,"159,250"
1982,"98,100"
1983,"61,220"
1984,"70,390"
1985,"67,700"
1986,"62,150"
1987,"64,530"
1988,"76,480"
1989,"107,070"
1990,"122,070"
1991,"113,390"
1992,"115,550"
1993,"114,180"
1994,"111,680"
1995,"98,970"
1996,"75,420"
1997,"69,650"
1998,"76,710"
1999,"85,290"
2000,"72,170"
2001,"68,920"
2002,"26,790"
2003,"28,290"
2004,"52,840"
2005,"53,740"
2006,"41,090"
2007,"48,220"
2008,"60,110"
2009,"74,600"
2010,"73,290"
2011,"56,380"
2012,"58,180"
2013,"69,910"
2014,"69,980"
2015,"69,920"
2016,"84,990"
2017,"53,690"
2018,"22,410"
2019,"29,920"
2020,"11,840"
2021,"11,450"
2022,"25,520"
2023,"60,050"
