Fiscal Year,Month (abbv),Component,Region,Area of Responsibility,Unique ID,Count of Officers/Agents
2022,APR,Air and Marine Operations,Coastal/Interior,Operations Directorate,220400001,1
2022,APR,Air and Marine Operations,Coastal/Interior,Operations Directorate,220400016,2
2022,APR,Office of Field Operations,Northern Border,Buffalo Field Office,220400103,2
2022,APR,Office of Field Operations,Northern Border,Buffalo Field Office,220400104,2
2022,APR,Office of Field Operations,Southern Border,Laredo Field Office,220400105,1
2022,APR,Office of Field Operations,Southern Border,Laredo Field Office,220400106,5
2022,APR,Office of Field Operations,Southern Border,San Diego Field Office,220400108,1
2022,APR,Office of Field Operations,Southern Border,San Diego Field Office,220400109,1
2022,APR,Office of Field Operations,Southern Border,San Diego Field Office,220400111,3
2022,APR,U.S. Border Patrol,Southern Border,Del Rio Sector,220400021,1
2022,APR,U.S. Border Patrol,Southern Border,Del Rio Sector,220400023,1
2022,APR,U.S. Border Patrol,Southern Border,El Centro Sector,220400003,1
2022,APR,U.S. Border Patrol,Southern Border,El Centro Sector,220400026,3
2022,APR,U.S. Border Patrol,Southern Border,El Centro Sector,220400028,1
2022,APR,U.S. Border Patrol,Southern Border,El Centro Sector,220400032,1
2022,APR,U.S. Border Patrol,Southern Border,El Centro Sector,220400033,1
2022,APR,U.S. Border Patrol,Southern Border,El Paso Sector,220400035,1
2022,APR,U.S. Border Patrol,Southern Border,El Paso Sector,220400036,1
2022,APR,U.S. Border Patrol,Southern Border,El Paso Sector,220400038,1
2022,APR,U.S. Border Patrol,Southern Border,El Paso Sector,220400041,1
2022,APR,U.S. Border Patrol,Southern Border,El Paso Sector,220400043,1
2022,APR,U.S. Border Patrol,Southern Border,El Paso Sector,220400045,1
2022,APR,U.S. Border Patrol,Southern Border,El Paso Sector,220400047,1
2022,APR,U.S. Border Patrol,Southern Border,Laredo Sector,220400005,2
2022,APR,U.S. Border Patrol,Southern Border,Laredo Sector,220400056,1
2022,APR,U.S. Border Patrol,Southern Border,Laredo Sector,220400057,1
2022,APR,U.S. Border Patrol,Southern Border,Laredo Sector,220400059,1
2022,APR,U.S. Border Patrol,Southern Border,Laredo Sector,220400060,1
2022,APR,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,220400006,1
2022,APR,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,220400061,1
2022,APR,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,220400062,1
2022,APR,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,220400063,1
2022,APR,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,220400065,1
2022,APR,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,220400066,1
2022,APR,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,220400067,1
2022,APR,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,220400068,1
2022,APR,U.S. Border Patrol,Southern Border,San Diego Sector,220400012,1
2022,APR,U.S. Border Patrol,Southern Border,San Diego Sector,220400074,1
2022,APR,U.S. Border Patrol,Southern Border,San Diego Sector,220400077,2
2022,APR,U.S. Border Patrol,Southern Border,San Diego Sector,220400081,2
2022,APR,U.S. Border Patrol,Southern Border,San Diego Sector,220400082,1
2022,APR,U.S. Border Patrol,Southern Border,Tucson Sector,220400013,1
2022,APR,U.S. Border Patrol,Southern Border,Tucson Sector,220400087,1
2022,APR,U.S. Border Patrol,Southern Border,Tucson Sector,220400093,1
2022,APR,U.S. Border Patrol,Southern Border,Yuma Sector,220400098,1
