Fiscal Year,Month (abbv),Component,Region,Area of Responsibility,Assault Type Used by Subject,Unique ID
2023,JUL,Air and Marine Operations,Coastal/Interior,Operations Directorate,Other,230700007
2025 (FYTD),OCT,Air and Marine Operations,Coastal/Interior,Operations Directorate,Other,251000013
2023,OCT,Air and Marine Operations,Coastal/Interior,Operations Directorate,Other,231000039
2024,NOV,Air and Marine Operations,Coastal/Interior,Operations Directorate,Other,241100009
2024,AUG,Air and Marine Operations,Coastal/Interior,Operations Directorate,Other,240800003
2023,APR,Air and Marine Operations,Coastal/Interior,Operations Directorate,Other,230400007
2023,AUG,Air and Marine Operations,Coastal/Interior,Operations Directorate,Other,230800014
2024,DEC,Air and Marine Operations,Coastal/Interior,Operations Directorate,Other,241200001
2025 (FYTD),OCT,Air and Marine Operations,Coastal/Interior,Operations Directorate,Other,251000015
2024,JUL,Air and Marine Operations,Coastal/Interior,Operations Directorate,Other,240700006
2025 (FYTD),OCT,Air and Marine Operations,Coastal/Interior,Operations Directorate,Other,251000067
2025 (FYTD),JAN,Air and Marine Operations,Coastal/Interior,Operations Directorate,Other,250100001
2023,JAN,Air and Marine Operations,Coastal/Interior,Operations Directorate,Firearm,230100009
2022,JAN,Air and Marine Operations,Coastal/Interior,Operations Directorate,Other,220100006
2023,NOV,Air and Marine Operations,Coastal/Interior,Operations Directorate,Firearm,231100117
2022,DEC,Air and Marine Operations,Coastal/Interior,Operations Directorate,Vehicle or Vessel,221200012
2025 (FYTD),DEC,Air and Marine Operations,Coastal/Interior,Operations Directorate,Rock or Other Thrown Projectile,251200009
2023,FEB,Air and Marine Operations,Coastal/Interior,Operations Directorate,Other,230200006
2022,APR,Air and Marine Operations,Coastal/Interior,Operations Directorate,Vehicle or Vessel,220400001
2023,OCT,Air and Marine Operations,Coastal/Interior,Operations Directorate,Physical Assault,231000037
2023,OCT,Air and Marine Operations,Coastal/Interior,Operations Directorate,Knife or Other Edged Weapon,231000037
2023,JAN,Air and Marine Operations,Coastal/Interior,Operations Directorate,Rock or Other Thrown Projectile,230100002
2022,OCT,Air and Marine Operations,Coastal/Interior,Operations Directorate,Other,221000001
2023,DEC,Air and Marine Operations,Coastal/Interior,Operations Directorate,Other,231200008
2023,DEC,Air and Marine Operations,Coastal/Interior,Operations Directorate,Other,231200009
2024,SEP,Air and Marine Operations,Coastal/Interior,Operations Directorate,Other,240900004
2022,NOV,Air and Marine Operations,Coastal/Interior,Operations Directorate,Other,221100006
